lot,cd_nm
1,45.493
2,44.812
3,47.01
4,44.105
5,45.652
6,45.104
7,44.96
8,45.928
9,43.962
10,44.53
11,45.123
12,46.388
13,45.262
14,45.812
15,43.932
16,44.357
17,45.862
18,44.773
19,45.158
20,45.699
21,43.699
22,44.383
23,45.137
24,44.147
25,44.717
26,45.172
27,44.748
28,45.018
29,45.229
30,46.108
31,46.277
32,44.932
33,44.637
34,45.807
35,45.549
36,45.371
37,44.582
38,45.641
39,45.796
40,43.985
41,45.895
42,45.152
43,44.695
44,44.127
45,44.968
46,45.16
47,44.946
48,44.381
49,44.387
50,45.682
51,45.234
52,45.395
53,45.63
54,45.69
55,46.384
56,45.153
57,45.024
58,44.548
59,45.371
60,45.381
61,44.684
62,45.179
63,45.189
64,47.698
65,44.853
66,46.05
67,45.478
68,45.139
69,45.479
70,45.445
71,45.18
72,45.031
73,44.946
74,44.939
75,45.391
76,45.121
77,45.858
78,46.141
79,45.163
80,44.998
81,46.101
82,45.153
83,45.345
84,44.939
85,45.292
86,46.083
87,45.811
88,44.457
89,44.621
90,44.923
91,44.995
92,45.679
93,43.75
94,46.08
95,44.418
96,45.908
97,44.343
98,45.061
99,45.791
100,45.226
