lot,wafer,cd_nm
1,1,44.673
1,2,46.06
1,3,44.668
1,4,44.986
1,5,45.187
2,1,45.237
2,2,45.527
2,3,45.005
2,4,45.491
2,5,44.368
3,1,45.167
3,2,45.067
3,3,44.671
3,4,44.937
3,5,44.377
4,1,44.667
4,2,45.13
4,3,44.721
4,4,44.562
4,5,44.343
5,1,45.836
5,2,45.852
5,3,45.411
5,4,45.383
5,5,44.221
6,1,45.893
6,2,46.026
6,3,45.751
6,4,45.857
6,5,44.515
7,1,45.526
7,2,44.717
7,3,46.277
7,4,44.888
7,5,45.571
8,1,45.496
8,2,45.07
8,3,45.047
8,4,45.74
8,5,45.912
9,1,45.706
9,2,45.931
9,3,45.282
9,4,45.025
9,5,45.002
10,1,45.383
10,2,45.38
10,3,46.577
10,4,45.235
10,5,46.147
11,1,46.436
11,2,45.355
11,3,45.5
11,4,44.975
11,5,45.836
12,1,45.422
12,2,46.149
12,3,45.305
12,4,44.568
12,5,45.803
13,1,45.696
13,2,45.375
13,3,45.012
13,4,45.721
13,5,45.674
14,1,45.935
14,2,44.802
14,3,46.462
14,4,45.649
14,5,45.502
15,1,45.863
15,2,45.709
15,3,43.577
15,4,45.253
15,5,44.383
16,1,45.282
16,2,44.098
16,3,45.078
16,4,45.462
16,5,45.366
17,1,45.554
17,2,45.446
17,3,45.202
17,4,44.1
17,5,45.698
18,1,45.461
18,2,44.894
18,3,44.711
18,4,45.671
18,5,44.84
19,1,46.14
19,2,46.421
19,3,46.0
19,4,47.39
19,5,45.799
20,1,47.12
20,2,46.877
20,3,46.709
20,4,46.288
20,5,45.745
21,1,46.286
21,2,45.674
21,3,46.881
21,4,45.959
21,5,46.541
22,1,45.498
22,2,45.673
22,3,44.788
22,4,45.366
22,5,44.31
23,1,44.625
23,2,45.744
23,3,45.495
23,4,44.982
23,5,44.99
24,1,44.759
24,2,45.132
24,3,45.519
24,4,44.513
24,5,45.677
25,1,44.367
25,2,45.735
25,3,45.495
25,4,45.288
25,5,44.528
26,1,45.498
26,2,42.155
26,3,42.937
26,4,48.3
26,5,46.199
27,1,45.335
27,2,45.213
27,3,44.929
27,4,45.838
27,5,45.336
28,1,44.509
28,2,45.48
28,3,44.188
28,4,44.42
28,5,45.328
29,1,45.198
29,2,45.56
29,3,45.506
29,4,45.709
29,5,45.895
30,1,44.484
30,2,45.085
30,3,45.822
30,4,44.439
30,5,44.496
