lot,etch_rate
1,1000.0
2,998.215
3,995.074
4,997.002
5,994.893
6,1002.412
7,997.735
8,994.148
9,990.049
10,993.646
11,990.259
12,996.475
13,994.033
14,998.196
15,1006.248
16,1001.881
17,989.068
18,993.815
19,997.606
20,997.862
21,998.317
22,1003.373
23,996.157
24,996.808
25,1004.773
26,1001.536
27,1000.961
28,1000.384
29,1004.537
30,997.232
31,996.233
32,1000.454
33,1005.483
34,999.787
35,1001.642
36,1000.588
37,1002.251
38,1007.95
39,1000.321
40,996.951
41,996.465
42,988.919
43,984.225
44,986.528
45,991.763
46,994.085
47,993.444
48,994.894
49,997.989
50,1000.115
51,994.389
52,989.402
53,995.027
54,989.159
55,995.004
56,998.659
57,996.18
58,997.36
59,1000.544
60,999.031
61,996.071
62,999.511
63,1001.934
64,1005.902
65,1000.588
66,1001.797
67,1001.393
68,1005.01
69,1002.806
70,998.057
71,999.721
72,993.001
73,990.374
74,991.576
75,997.907
76,992.564
77,992.136
78,991.951
79,985.561
80,989.945
81,989.505
82,990.367
83,992.996
84,989.384
85,986.608
86,994.69
87,995.474
88,1000.617
89,1006.161
90,1006.354
91,1001.208
92,1008.296
93,1005.624
94,1002.194
95,1003.337
96,1006.194
97,1007.093
98,1004.126
99,1006.998
100,1002.645
101,1003.717
102,1001.994
103,997.886
104,1001.107
105,1002.859
106,1000.211
107,997.907
108,998.847
109,1003.046
110,1008.19
111,1004.737
112,1006.575
113,1009.56
114,1003.451
115,1002.543
116,996.329
117,996.782
118,1000.304
119,1001.642
120,1005.082
121,1004.575
122,999.231
123,999.347
124,1005.513
125,999.706
126,1008.669
127,1006.765
128,1005.115
129,1000.621
130,1006.533
131,992.744
132,996.406
133,1003.192
134,1003.245
135,1003.849
136,1011.244
137,1004.089
138,1006.707
139,1002.13
140,1001.863
141,1006.785
142,1002.583
143,1003.707
144,998.843
145,998.768
146,1001.495
147,1003.411
148,1001.496
149,1000.677
150,1001.518
151,1000.032
152,997.609
153,1006.957
154,1006.688
155,1001.911
156,1014.263
157,1014.651
158,1010.102
159,1009.115
160,1005.918
161,1010.053
162,1013.42
163,1004.242
164,999.033
165,999.84
166,996.383
167,996.607
168,997.093
169,1003.207
170,1008.493
171,1010.977
172,1004.928
173,1003.111
174,1000.279
175,1001.058
176,1001.601
177,1000.698
178,1004.103
179,1004.666
180,1001.103
181,1003.521
182,1003.582
183,1004.321
184,1005.923
185,1003.994
186,1007.116
187,1003.684
188,1012.806
189,1014.565
190,1016.294
191,1009.847
192,1009.448
193,1003.803
194,999.928
195,1002.739
196,1009.0
197,1009.051
198,1010.078
199,1004.813
200,995.249
