lot,wafers_since_pm,etch_rate
1,0,997.796
2,1,999.758
3,2,995.908
4,3,994.623
5,4,999.964
6,5,996.679
7,6,1000.566
8,7,998.034
9,8,991.071
10,9,995.123
11,10,992.915
12,11,994.438
13,12,995.192
14,13,996.605
15,14,990.151
16,15,990.368
17,16,991.927
18,17,989.657
19,18,989.759
20,19,993.006
21,20,987.042
22,21,987.562
23,22,996.709
24,23,985.434
25,24,986.738
26,25,989.433
27,26,986.852
28,27,989.47
29,28,987.677
30,29,989.951
31,0,999.413
32,1,1002.364
33,2,999.004
34,3,998.11
35,4,997.165
36,5,998.058
37,6,998.906
38,7,996.722
39,8,998.559
40,9,997.683
41,10,996.369
42,11,994.873
43,12,992.376
44,13,991.763
45,14,996.129
46,15,996.794
47,16,988.493
48,17,998.1
49,18,991.547
50,19,990.15
51,20,991.038
52,21,986.532
53,22,987.482
54,23,991.526
55,24,988.806
56,25,990.845
57,26,988.647
58,27,991.555
59,28,984.994
60,29,987.4
61,0,997.375
62,1,998.599
63,2,1000.529
64,3,1000.723
65,4,997.986
66,5,998.909
67,6,993.337
68,7,995.073
69,8,998.654
70,9,998.305
71,10,992.464
72,11,996.251
73,12,990.344
74,13,997.64
75,14,991.429
76,15,987.063
77,16,990.06
78,17,989.085
79,18,984.73
80,19,986.079
81,20,990.311
82,21,986.554
83,22,981.503
84,23,990.733
85,24,985.779
86,25,982.344
87,26,977.9
88,27,980.033
89,28,980.433
90,29,981.904
91,0,991.53
92,1,994.116
93,2,993.523
94,3,1000.226
95,4,996.241
96,5,992.776
97,6,990.468
98,7,985.55
99,8,985.979
100,9,991.523
101,10,994.183
102,11,993.23
103,12,987.337
104,13,988.552
105,14,989.711
106,15,985.28
107,16,990.009
108,17,988.803
109,18,989.884
110,19,989.558
111,20,988.991
112,21,983.815
113,22,981.229
114,23,986.407
115,24,982.102
116,25,981.834
117,26,984.831
118,27,982.867
119,28,984.514
120,29,987.593
