run,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12
1,-1.2108,-1.9463,-0.8945,-1.5899,1.8296,0.9915,-0.4026,-1.4466,-0.7685,-1.1491,2.7532,0.3973
2,2.4882,-1.3092,-2.0729,6.3003,-3.2347,0.9394,-1.1002,0.6607,-1.6905,1.6788,-3.1663,0.9608
3,0.0458,-0.7944,-0.1605,0.169,0.7759,1.1532,0.3357,0.2656,1.1063,-0.3453,1.229,1.8616
4,1.6383,-0.4574,-0.6325,3.4531,-1.9713,0.1063,0.1778,1.8158,0.3801,0.9514,-3.1049,1.0321
5,-0.8016,1.373,1.6915,-1.6822,0.3657,-0.5452,-0.0202,0.1925,1.2869,-0.5873,1.021,-0.1609
6,1.1902,-0.0567,0.0196,1.0635,-0.0615,0.1579,-0.0602,0.5127,-0.0798,0.0013,0.1482,1.482
7,0.7141,0.3813,-0.0027,1.2817,-1.05,-0.2327,-0.4758,0.3001,-0.939,1.437,-2.5817,-1.5003
8,0.1773,0.8502,1.3887,1.5042,-1.4326,-0.4468,0.4307,0.1734,1.226,-0.3187,-1.549,-0.0759
9,0.2728,-0.1471,0.3899,0.8214,-0.2385,-0.3612,0.2329,0.0176,0.2881,-0.6836,0.0841,0.5838
10,-0.4325,0.7781,0.2782,-0.3557,-0.2337,-0.9949,-0.8915,0.0776,-0.6628,0.4033,-0.8446,-1.3546
11,-1.9379,1.809,1.5157,-2.3214,1.3279,-0.5117,-0.1982,0.0964,0.1106,-1.3701,1.4185,-0.903
12,-1.5213,1.6074,1.5277,-5.2786,3.228,-0.3378,0.7512,-1.7738,0.7539,-1.5567,3.889,-1.3366
13,1.8808,-0.9279,-1.7137,4.2103,-1.9639,0.109,-1.3982,0.6408,-0.6549,1.1381,-2.3527,0.9879
14,-0.6864,-0.371,0.9492,-3.0944,2.529,-0.0633,0.5168,0.0158,1.2139,-1.5123,3.4969,1.5316
15,0.096,-0.545,-0.7405,1.2172,-0.6042,0.4221,-0.1029,0.2034,-0.8476,0.3568,-0.5454,1.5095
16,-0.2429,-0.7813,-1.8293,1.3784,-0.1164,0.3203,-1.5403,-1.0872,-1.1085,0.8149,-1.235,-0.5967
17,-0.7904,1.6488,0.7773,-0.8655,-0.3875,-0.4977,0.336,0.3806,0.5514,0.3016,-0.3418,-0.8149
18,0.0094,2.7106,3.0856,-0.3915,-0.7677,-1.4479,0.6941,1.0149,1.8937,-1.4247,-0.5699,0.1477
19,0.746,-2.1302,-2.0226,1.5371,-0.3713,0.6685,-0.1187,-0.5248,-0.9103,1.0305,-1.2771,0.2567
20,-1.0137,-0.3852,0.6237,-0.4953,1.2047,0.2185,-0.1059,0.0898,-0.066,-0.2619,0.6835,-0.3783
21,0.074,1.7919,1.5594,-1.938,0.3774,-0.8711,0.6405,0.1123,0.0337,-0.1461,-0.0174,-1.0575
22,-0.2044,0.3395,-1.0231,0.8006,-0.7613,-0.6033,-1.0066,-0.8032,-1.8764,1.1707,-3.1113,-2.8061
23,-0.0618,1.2878,1.1886,0.9528,-0.8325,-0.7426,1.0332,1.587,1.4354,-0.1844,-0.9277,-0.031
24,-0.4653,-1.1344,-1.7453,-1.0951,-0.0891,-0.6919,-2.4909,-1.9944,-3.1316,1.224,-1.8153,-3.9983
25,-0.6541,0.0975,0.1156,-1.9215,1.8966,-0.0168,0.6502,-0.841,0.4934,-0.7871,1.8815,0.8365
26,0.2352,0.1966,-0.0463,0.3434,-0.8745,-0.6313,0.0206,0.1892,-0.3648,0.6959,-1.161,-0.7253
27,-0.0981,-2.2281,-2.9739,-0.2794,0.5725,0.6787,-1.4253,-1.2728,-2.4641,0.6161,0.893,-0.2615
28,0.8681,-0.7344,-1.1723,0.3384,-0.6079,-0.142,-1.7695,-1.907,-2.6115,1.5902,-2.7097,-3.6095
29,0.1249,0.1054,-1.1955,0.3605,-0.6723,-0.2376,-0.5069,-0.5611,-1.2746,0.6191,-2.2295,-2.7947
30,1.2497,1.2258,1.4844,1.4228,-2.2522,-1.0819,0.3486,1.051,0.2217,0.2133,-2.0072,-0.4611
31,-3.0681,-0.5523,-0.2738,-5.7204,4.3063,-0.3999,0.7226,-1.8144,-0.7975,-1.8162,4.8614,-2.1821
32,-0.123,-0.1086,-0.844,-0.6302,-0.0425,0.4345,-0.3164,-0.3651,-0.4916,0.317,-0.3746,-0.6923
33,0.636,-1.1728,-1.3802,0.709,0.1517,0.5361,-0.8329,-0.3866,-1.1518,0.8417,-0.631,-0.5022
34,1.8267,0.4527,0.3696,4.3206,-2.0473,0.6613,0.7268,1.6245,0.6611,0.1079,-2.3961,2.6342
35,-0.2255,0.5808,-0.0488,0.4028,0.1848,-0.0909,0.6008,0.7302,0.215,0.4851,-0.3324,0.7223
36,-0.3244,1.5225,2.1247,-0.7995,0.0085,-0.2153,0.7466,0.9245,1.8979,-1.2458,1.1451,1.0902
37,-0.7927,3.1746,2.2378,-3.4735,0.0742,-2.1968,-0.1221,0.3807,0.1824,-0.5059,-1.1135,-3.8215
38,-1.4729,2.3863,2.3644,-4.1478,2.2331,-0.533,0.7817,-0.477,1.9808,-2.1479,3.6099,0.7174
39,-0.759,0.9182,0.1847,-2.3315,0.0823,-1.0173,-0.2195,-1.0884,-1.3081,1.0057,-0.2529,-3.2978
40,-1.1158,1.3616,0.673,-2.8372,1.1208,-1.1268,-0.1074,-1.0968,-1.1095,0.8381,-0.2028,-3.2169
41,-0.014,0.3871,0.5082,-0.3012,0.3193,0.1324,0.9539,0.2526,0.7173,-1.0555,0.0941,0.1313
42,0.0605,-0.8246,-0.881,0.508,0.166,0.5812,-0.3206,-0.0201,-0.3101,-0.1355,0.3903,0.2765
43,-0.9266,-0.8644,-0.0102,-3.446,2.4698,0.4168,-0.4669,-1.805,0.0521,-0.6647,2.5226,-0.6543
44,-1.1081,2.091,2.1943,-2.5793,1.4702,-0.3029,1.0887,-0.1099,2.2521,-2.0333,2.5788,-0.0291
45,0.5668,0.5484,1.0636,2.5969,-1.378,0.6498,1.5711,1.6121,2.202,-1.0256,0.8777,3.3734
46,0.2932,-3.1139,-2.4611,2.0457,-0.0637,2.0111,-0.0738,0.5908,-0.3443,0.1316,1.5338,3.4377
47,1.4589,-0.1971,-0.3888,3.9245,-2.2572,-0.3448,0.274,0.8137,0.0297,1.0724,-2.7364,0.8738
48,0.9547,0.4901,0.2286,1.2186,-0.5545,-0.1951,-0.9916,-0.3958,-1.0339,1.0813,-0.652,-0.5908
49,-0.4146,0.419,0.3163,-0.8441,0.8284,0.872,1.191,0.3717,0.7691,-0.6445,1.7099,1.1867
50,0.105,0.7349,0.3543,0.9771,-1.47,-1.0575,-0.96,-0.306,-0.8506,0.8917,-2.3994,-2.0056
51,0.0226,2.289,0.9902,-0.2079,-1.7075,-2.0861,-1.2206,-0.7904,-1.6895,2.1004,-4.3685,-4.266
52,0.5802,-1.2975,-2.0177,2.5414,-0.6706,0.3194,-1.6641,-0.498,-1.7998,0.8236,-1.4407,0.0367
53,0.4937,-0.8329,-2.2667,2.3077,-0.6552,-0.0827,-0.7395,-0.1209,-1.9605,1.6501,-2.1778,-0.9773
54,-0.7651,0.6442,1.3108,-1.4861,0.8116,1.0949,1.5947,0.343,2.7979,-1.7126,2.8625,3.0701
55,-1.2153,0.6025,0.2731,-2.6415,-0.2669,-0.6412,-0.9879,-1.2579,-1.8108,1.0401,-1.7719,-4.2338
56,0.5923,1.2122,1.2701,0.0468,-0.0714,-0.2485,0.624,0.8228,0.7548,0.0548,0.0239,-1.1048
57,0.3096,-2.8151,-2.1132,1.1642,0.29,1.8247,-1.2702,-0.0995,0.0786,-0.1998,0.5315,2.2266
58,-0.252,-0.9689,-1.7881,-0.1968,1.2137,1.2615,-0.3845,0.0509,-0.8509,0.3208,0.6297,0.0602
59,-0.9276,-1.6324,-2.4267,-2.6286,1.3644,-0.0171,-2.8213,-1.939,-4.2655,1.2825,-0.5428,-3.7443
60,0.1841,0.8231,0.3991,-0.3771,0.3197,-0.7899,-0.9087,-0.781,-1.3643,0.6107,-1.8622,-2.5845
61,0.4263,1.6867,2.0546,-0.4893,-0.4412,0.1026,1.4955,0.4251,2.028,-1.698,1.0954,0.6774
62,0.2048,-0.5193,0.4455,-0.1577,0.7259,0.5062,0.6323,0.4204,0.9617,-1.3868,1.1272,0.9085
63,-1.3916,0.1645,1.0577,-3.0876,1.5058,-0.226,0.4308,-1.304,0.1774,-0.9482,2.5707,-0.7823
64,0.2138,0.3929,-0.4696,0.7202,-0.7978,-0.9141,-0.5488,-0.4912,-1.7106,1.4176,-2.8778,-3.0825
65,-0.0264,-2.0502,-0.8008,-1.0258,1.5153,1.2027,-0.2455,-0.6263,0.4499,-1.1404,2.9035,1.1927
66,0.2423,-0.2134,0.0613,-0.5433,0.2363,0.9102,-0.1745,-0.852,0.6148,-0.7655,1.5454,0.8734
67,0.3638,0.0031,-0.6923,0.4901,-1.1901,-1.1786,-1.7453,-1.178,-2.7838,1.4458,-2.0636,-2.7856
68,-0.3919,0.1388,-1.5416,0.1973,-0.7193,-0.7044,-1.3394,-0.6051,-1.3109,0.4391,-1.7758,-2.261
69,-0.1001,-0.7572,-1.2996,-0.7243,0.5889,0.9112,-0.3414,-0.695,-0.4436,-0.5098,1.3877,1.2493
70,-0.9924,0.0848,0.7321,-1.7338,0.7481,0.2405,0.6395,-0.2916,1.5709,-0.6944,1.2723,1.2175
71,-0.1926,-1.6276,-2.0085,1.1845,-0.1538,0.4887,-0.6779,0.0287,-1.035,0.3474,-0.769,0.5868
72,0.8725,-0.8355,-1.494,3.0883,-0.93,0.3764,0.0335,0.6909,0.1092,0.7597,-0.9864,2.1043
73,-0.3657,-0.7801,-1.282,-1.6022,0.7942,0.9513,0.4032,0.0571,0.7096,-1.5336,2.5844,2.2866
74,0.7109,-1.5332,-0.6806,0.6605,0.1819,1.2764,0.721,0.1232,0.5387,-0.5345,1.6743,2.2621
75,0.4214,4.2134,3.8526,-0.4185,-2.4602,-2.3778,1.3213,1.31,2.1321,-0.2405,-2.4677,-1.5035
76,-1.4008,1.7657,2.3196,-1.7182,-0.6191,-1.0094,0.7637,0.3282,1.1604,-0.8933,0.4591,-0.3543
77,-0.0593,0.0176,0.2786,-1.3421,0.5751,0.2549,0.9045,-0.3357,1.2333,-0.5076,2.131,1.0307
78,-0.8499,0.8901,1.1282,-2.9205,1.8469,-0.5075,-0.076,0.086,-0.003,-0.3743,1.5142,-0.5967
79,0.3407,1.7704,1.2872,-1.3071,0.7076,-0.004,1.1049,0.5298,1.7793,-0.5103,0.7228,0.4462
80,-1.0117,1.1736,1.693,-2.8236,1.0505,0.0825,0.8496,-0.5214,1.2914,-0.9861,2.6548,0.6467
81,-0.8587,0.8612,1.075,-1.6352,0.2394,0.266,0.9763,0.4761,1.6737,-1.6004,1.8508,0.494
82,-0.6394,-0.332,-0.0897,-1.3241,0.942,0.5809,0.6197,-0.5014,0.9076,-0.9724,2.6072,1.1337
83,-1.8289,-1.7293,-1.5876,-3.5704,2.655,0.1329,-0.7388,-1.7213,-1.2269,-1.1358,3.8234,-0.1807
84,0.5775,1.2776,0.6153,0.2899,-0.5713,0.0056,0.2954,0.3249,1.3363,-0.7001,-0.2485,0.5393
85,-0.8181,-0.5569,-0.9331,-0.9688,-0.0413,0.0463,-1.0309,-0.576,-1.0754,0.07,-0.2862,-1.9875
86,1.038,0.2879,0.2083,2.317,-1.3796,-0.3362,-0.2205,0.5008,-0.3623,0.6101,-1.715,-0.2383
87,-0.0989,-0.649,0.4562,-0.3198,0.8193,0.883,1.5053,0.8311,1.8141,-0.892,2.796,3.6124
88,0.5035,-2.5943,-3.2254,1.1236,0.1829,0.1029,-2.1536,-1.6222,-2.936,1.415,-1.6797,-2.0648
