part,tool,trial,measured_cd_nm
1,Tool 1,1,44.9168
1,Tool 1,2,45.7292
1,Tool 2,1,45.5853
1,Tool 2,2,45.901
1,Tool 3,1,45.2979
1,Tool 3,2,44.717
2,Tool 1,1,46.2849
2,Tool 1,2,46.1141
2,Tool 2,1,46.0147
2,Tool 2,2,45.7457
2,Tool 3,1,45.6096
2,Tool 3,2,45.5707
3,Tool 1,1,44.3925
3,Tool 1,2,44.1928
3,Tool 2,1,44.5806
3,Tool 2,2,43.9672
3,Tool 3,1,43.9411
3,Tool 3,2,43.9483
4,Tool 1,1,45.8215
4,Tool 1,2,45.7391
4,Tool 2,1,46.3179
4,Tool 2,2,46.1889
4,Tool 3,1,45.6622
4,Tool 3,2,45.8069
5,Tool 1,1,44.9291
5,Tool 1,2,45.1667
5,Tool 2,1,44.9555
5,Tool 2,2,45.1619
5,Tool 3,1,45.0193
5,Tool 3,2,44.6746
6,Tool 1,1,44.917
6,Tool 1,2,44.4271
6,Tool 2,1,44.6291
6,Tool 2,2,44.3493
6,Tool 3,1,44.328
6,Tool 3,2,44.3746
7,Tool 1,1,44.6431
7,Tool 1,2,44.6248
7,Tool 2,1,45.051
7,Tool 2,2,45.0727
7,Tool 3,1,44.0365
7,Tool 3,2,44.6578
8,Tool 1,1,44.0944
8,Tool 1,2,44.3515
8,Tool 2,1,44.5055
8,Tool 2,2,44.5794
8,Tool 3,1,43.9283
8,Tool 3,2,44.0128
9,Tool 1,1,45.0289
9,Tool 1,2,44.8287
9,Tool 2,1,44.8504
9,Tool 2,2,45.1903
9,Tool 3,1,44.9094
9,Tool 3,2,44.6515
10,Tool 1,1,45.5879
10,Tool 1,2,45.5781
10,Tool 2,1,45.4732
10,Tool 2,2,45.4584
10,Tool 3,1,44.9716
10,Tool 3,2,45.41
