part,tool,trial,measured_cd_nm
1,Tool 1,1,44.9073
1,Tool 1,2,44.9775
1,Tool 2,1,44.8154
1,Tool 2,2,44.773
1,Tool 3,1,44.7421
1,Tool 3,2,44.7987
2,Tool 1,1,44.8069
2,Tool 1,2,44.8626
2,Tool 2,1,44.7543
2,Tool 2,2,44.9672
2,Tool 3,1,44.9289
2,Tool 3,2,44.875
3,Tool 1,1,44.754
3,Tool 1,2,45.0326
3,Tool 2,1,44.8898
3,Tool 2,2,44.783
3,Tool 3,1,44.8311
3,Tool 3,2,45.1102
4,Tool 1,1,44.861
4,Tool 1,2,45.0377
4,Tool 2,1,45.1035
4,Tool 2,2,44.7287
4,Tool 3,1,45.1499
4,Tool 3,2,44.994
5,Tool 1,1,45.0795
5,Tool 1,2,45.1336
5,Tool 2,1,45.2864
5,Tool 2,2,45.2677
5,Tool 3,1,45.3265
5,Tool 3,2,45.2114
6,Tool 1,1,44.9195
6,Tool 1,2,44.9418
6,Tool 2,1,45.0174
6,Tool 2,2,44.934
6,Tool 3,1,45.077
6,Tool 3,2,45.097
7,Tool 1,1,45.1929
7,Tool 1,2,45.2106
7,Tool 2,1,45.2231
7,Tool 2,2,45.22
7,Tool 3,1,45.3048
7,Tool 3,2,45.0476
8,Tool 1,1,45.1315
8,Tool 1,2,45.2127
8,Tool 2,1,44.9955
8,Tool 2,2,45.0621
8,Tool 3,1,45.4183
8,Tool 3,2,45.154
9,Tool 1,1,44.9072
9,Tool 1,2,44.9911
9,Tool 2,1,44.9483
9,Tool 2,2,44.9098
9,Tool 3,1,44.9979
9,Tool 3,2,45.0067
10,Tool 1,1,44.8507
10,Tool 1,2,44.9269
10,Tool 2,1,45.112
10,Tool 2,2,44.9866
10,Tool 3,1,45.1671
10,Tool 3,2,45.0786
