lot,output_error,controller_offset
1,-0.4812,0.1203
2,-0.6743,0.2889
3,0.1399,0.2539
4,0.5062,0.1274
5,0.809,-0.0749
6,-0.0091,-0.0726
7,-0.4042,0.0284
8,-0.4424,0.139
9,0.5883,-0.008
10,0.9728,-0.2512
11,-0.0876,-0.2293
12,-0.9693,0.013
13,-0.562,0.1535
14,1.1135,-0.1249
15,-0.0032,-0.1241
16,-1.1634,0.1667
17,0.1165,0.1376
18,-0.5603,0.2777
19,-0.0999,0.3027
20,0.0099,0.3002
21,-0.1278,0.3321
22,0.6642,0.1661
23,0.1283,0.134
24,-0.2196,0.1889
25,0.4347,0.0803
26,0.5782,-0.0643
27,-1.0501,0.1982
28,0.0442,0.1872
29,-0.4013,0.2875
30,0.1836,0.2416
31,-0.532,0.3746
32,0.387,0.2779
33,0.2551,0.2141
34,0.0315,0.2062
35,-0.4225,0.3118
36,0.0741,0.2933
37,-0.3615,0.3837
38,-0.4294,0.491
39,0.6259,0.3346
40,-0.331,0.4173
41,1.1195,0.1375
42,0.5674,-0.0044
43,-1.2031,0.2964
44,0.4596,0.1815
45,-0.4796,0.3014
46,0.3212,0.2211
47,0.2472,0.1592
48,-1.0338,0.4177
49,0.2776,0.3483
50,0.1948,0.2996
51,0.8768,0.0804
52,-0.6285,0.2375
53,0.6803,0.0674
54,-0.592,0.2154
55,0.0166,0.2113
56,-0.293,0.2845
57,1.1538,-0.0039
58,0.337,-0.0882
59,1.3709,-0.4309
60,-0.0457,-0.4195
61,0.0875,-0.4413
62,0.2156,-0.4952
63,-0.5541,-0.3567
64,0.0589,-0.3714
65,1.049,-0.6337
66,-0.1089,-0.6065
67,0.4221,-0.712
68,0.3431,-0.7977
69,0.7881,-0.9948
70,0.1592,-1.0346
71,0.3994,-1.1344
72,0.689,-1.3067
73,0.5857,-1.4531
74,0.011,-1.4558
75,1.2172,-1.7601
76,-0.2511,-1.6974
77,0.0226,-1.703
78,0.1207,-1.7332
79,1.5927,-2.1314
80,0.5506,-2.269
81,0.1992,-2.3188
82,0.203,-2.3696
83,1.239,-2.6793
84,0.1962,-2.7284
85,0.1694,-2.7707
86,1.4112,-3.1235
87,0.1245,-3.1547
88,0.7705,-3.3473
89,0.9198,-3.5773
90,0.5793,-3.7221
91,0.8217,-3.9275
92,1.6046,-4.3287
93,0.2426,-4.3893
94,-0.111,-4.3615
95,-0.2772,-4.2923
96,0.9239,-4.5232
97,0.7569,-4.7125
98,1.0907,-4.9851
99,0.5329,-5.1184
100,0.5436,-5.2543
101,0.4146,-5.3579
102,0.5845,-5.504
103,0.9989,-5.7538
104,0.5774,-5.8981
105,0.874,-6.1166
106,1.8885,-6.5887
107,0.7157,-6.7677
108,-0.5438,-6.6317
109,1.7305,-7.0643
110,0.6189,-7.2191
111,-0.1568,-7.1799
112,1.144,-7.4659
113,0.4769,-7.5851
114,0.1305,-7.6177
115,0.2395,-7.6776
116,0.1162,-7.7066
117,0.8646,-7.9228
118,1.4134,-8.2761
119,0.3763,-8.3702
120,0.8823,-8.5908
