column,block,meaning
f000,sensor,rf_power_W|main_etch|mean
f001,sensor,rf_power_W|main_etch|std
f002,sensor,rf_power_W|main_etch|slope
f003,sensor,rf_power_W|main_etch|range
f004,sensor,rf_power_W|overetch|mean
f005,sensor,rf_power_W|overetch|std
f006,sensor,rf_power_W|overetch|slope
f007,sensor,rf_power_W|overetch|range
f008,sensor,chamber_pressure_mTorr|main_etch|mean
f009,sensor,chamber_pressure_mTorr|main_etch|std
f010,sensor,chamber_pressure_mTorr|main_etch|slope
f011,sensor,chamber_pressure_mTorr|main_etch|range
f012,sensor,chamber_pressure_mTorr|overetch|mean
f013,sensor,chamber_pressure_mTorr|overetch|std
f014,sensor,chamber_pressure_mTorr|overetch|slope
f015,sensor,chamber_pressure_mTorr|overetch|range
f016,sensor,gas_flow_sccm|main_etch|mean
f017,sensor,gas_flow_sccm|main_etch|std
f018,sensor,gas_flow_sccm|main_etch|slope
f019,sensor,gas_flow_sccm|main_etch|range
f020,sensor,gas_flow_sccm|overetch|mean
f021,sensor,gas_flow_sccm|overetch|std
f022,sensor,gas_flow_sccm|overetch|slope
f023,sensor,gas_flow_sccm|overetch|range
f024,sensor,oes_endpoint_au|main_etch|mean
f025,sensor,oes_endpoint_au|main_etch|std
f026,sensor,oes_endpoint_au|main_etch|slope
f027,sensor,oes_endpoint_au|main_etch|range
f028,sensor,oes_endpoint_au|overetch|mean
f029,sensor,oes_endpoint_au|overetch|std
f030,sensor,oes_endpoint_au|overetch|slope
f031,sensor,oes_endpoint_au|overetch|range
f032,sensor,wall_temp_C|main_etch|mean
f033,sensor,wall_temp_C|main_etch|std
f034,sensor,wall_temp_C|main_etch|slope
f035,sensor,wall_temp_C|main_etch|range
f036,sensor,wall_temp_C|overetch|mean
f037,sensor,wall_temp_C|overetch|std
f038,sensor,wall_temp_C|overetch|slope
f039,sensor,wall_temp_C|overetch|range
f040,lot,lot|incoming_cd_nm
f041,lot,lot|incoming_thk_nm
f042,lot,lot|log_queue_min
f043,lot,lot|conditioning_index
f044,lot,lot|meta_00
f045,lot,lot|meta_01
f046,lot,lot|meta_02
f047,lot,lot|meta_03
f048,lot,lot|meta_04
f049,lot,lot|meta_05
f050,lot,lot|meta_06
f051,lot,lot|meta_07
f052,lot,lot|meta_08
f053,lot,lot|meta_09
f054,lot,lot|meta_10
f055,lot,lot|meta_11
f056,lot,lot|meta_12
f057,lot,lot|meta_13
f058,lot,lot|meta_14
f059,lot,lot|meta_15
f060,nuisance,aux|channel_00
f061,nuisance,aux|channel_01
f062,nuisance,aux|channel_02
f063,nuisance,aux|channel_03
f064,nuisance,aux|channel_04
f065,nuisance,aux|channel_05
f066,nuisance,aux|channel_06
f067,nuisance,aux|channel_07
f068,nuisance,aux|channel_08
f069,nuisance,aux|channel_09
f070,nuisance,aux|channel_10
f071,nuisance,aux|channel_11
f072,nuisance,aux|channel_12
f073,nuisance,aux|channel_13
f074,nuisance,aux|channel_14
f075,nuisance,aux|channel_15
f076,nuisance,aux|channel_16
f077,nuisance,aux|channel_17
f078,nuisance,aux|channel_18
f079,nuisance,aux|channel_19
f080,nuisance,aux|channel_20
f081,nuisance,aux|channel_21
f082,nuisance,aux|channel_22
f083,nuisance,aux|channel_23
f084,nuisance,aux|channel_24
f085,nuisance,aux|channel_25
f086,nuisance,aux|channel_26
f087,nuisance,aux|channel_27
f088,nuisance,aux|channel_28
f089,nuisance,aux|channel_29
f090,nuisance,aux|channel_30
f091,nuisance,aux|channel_31
f092,nuisance,aux|channel_32
f093,nuisance,aux|channel_33
f094,nuisance,aux|channel_34
f095,nuisance,aux|channel_35
f096,nuisance,aux|channel_36
f097,nuisance,aux|channel_37
f098,nuisance,aux|channel_38
f099,nuisance,aux|channel_39
f100,nuisance,aux|channel_40
f101,nuisance,aux|channel_41
f102,nuisance,aux|channel_42
f103,nuisance,aux|channel_43
f104,nuisance,aux|channel_44
f105,nuisance,aux|channel_45
f106,nuisance,aux|channel_46
f107,nuisance,aux|channel_47
f108,nuisance,aux|channel_48
f109,nuisance,aux|channel_49
f110,nuisance,aux|channel_50
f111,nuisance,aux|channel_51
f112,nuisance,aux|channel_52
f113,nuisance,aux|channel_53
f114,nuisance,aux|channel_54
f115,nuisance,aux|channel_55
f116,nuisance,aux|channel_56
f117,nuisance,aux|channel_57
f118,nuisance,aux|channel_58
f119,nuisance,aux|channel_59
