wafer_id,lot_id,run_index,timestamp,chamber,slot,recipe,product,wafers_since_clean,f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,f063,f064,f065,f066,f067,f068,f069,f070,f071,f072,f073,f074,f075,f076,f077,f078,f079,f080,f081,f082,f083,f084,f085,f086,f087,f088,f089,f090,f091,f092,f093,f094,f095,f096,f097,f098,f099,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,recipe_complete
W0001,LOT01,1,2026-01-05 06:54:59.250776682,A,1,GATE-ETCH-R7,PRD-A,0,758.10955,2.43041,0.02336,11.87870,727.65526,2.73347,-0.03779,11.88001,10.16536,0.04403,-0.00047,0.20902,9.96963,0.06443,0.00057,0.24221,108.80002,0.77216,0.00146,3.07233,111.34733,0.94719,-0.02631,3.93592,1.02737,0.09266,0.00575,0.33015,0.74006,0.02197,0.00274,0.08237,63.79522,0.14736,-0.00156,0.66315,64.39642,0.16039,0.00383,0.72091,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,0.35225,0.49201,-1.05229,-1.97397,-1.66784,0.11547,-0.91897,1.24873,1.97550,0.57023,-1.01984,-0.67676,-1.11482,-1.05267,-1.21304,1.22886,-0.54131,0.70890,-1.68639,0.93936,-0.37254,-0.84384,-0.77103,-0.96754,-2.58726,0.07328,-0.04145,-0.91967,0.19070,1.19825,-0.31011,-0.93675,-0.34140,0.62326,-0.29192,0.88860,1.00581,-0.00676,1.30729,0.85968,-0.65746,0.59452,-0.24131,0.38497,0.52223,0.11410,1.17978,-0.98150,1.11494,0.89218,-1.10069,-0.07874,0.38546,1.47400,-0.80811,1.09595,-1.33380,-0.01627,0.03542,1.15231,1
W0002,LOT01,2,2026-01-05 06:59:11.250776682,A,2,GATE-ETCH-R7,PRD-A,1,758.68592,2.67877,-0.00618,12.97454,727.67104,2.58381,-0.00880,10.21507,10.57660,0.04672,0.00017,0.24164,10.36438,0.05247,0.00037,0.24744,108.86777,0.83397,0.00112,3.83682,110.80340,0.85653,0.03563,3.36942,0.97793,0.05946,0.00366,0.21470,0.70590,0.01739,0.00186,0.06554,65.84944,0.15424,0.00191,0.64075,66.52267,0.14070,-0.00401,0.57004,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.06814,-1.87241,-0.61660,-1.32961,0.32807,-1.72228,-2.20301,-0.05122,-1.21469,-0.38618,-1.89210,-0.04738,-0.33786,-0.52045,-0.92744,-0.13828,-0.37006,-0.75256,-1.02707,0.08530,0.80904,-0.35066,0.49967,-0.28593,-0.88737,-0.24324,-0.00073,0.97744,0.94323,1.45028,-1.03967,-1.51877,0.83015,-0.98329,0.47659,-0.48275,-0.91485,0.61728,1.76133,1.15576,1.23282,0.26325,0.86333,0.94733,-0.32947,-3.27204,-0.12257,-0.89526,1.29180,0.49662,-0.41998,0.85917,1.79761,-0.69469,-0.70278,-0.89621,0.31980,1.04038,1.14086,1.11427,1
W0003,LOT01,3,2026-01-05 07:03:23.250776682,A,3,GATE-ETCH-R7,PRD-A,2,745.42295,2.49601,-0.01494,10.33525,717.11972,2.60056,0.04667,10.12921,10.87425,0.04684,-0.00051,0.18540,10.67018,0.04673,0.00037,0.18026,109.55184,0.66284,-0.00408,2.87771,111.55353,0.64632,-0.00923,2.18960,0.97775,0.05584,0.00342,0.20049,0.70137,0.01624,0.00190,0.06703,65.95150,0.14528,-0.00224,0.59775,66.60521,0.13802,-0.00524,0.53882,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,0.23249,0.16033,-1.31860,-1.73674,1.64669,-1.59391,-0.60513,-0.81262,-0.14978,0.50641,0.94599,-1.04072,-1.65668,0.40583,-1.37855,-1.47526,0.11160,-1.04603,0.18537,0.85117,-0.34612,0.05997,-0.16830,-1.59865,1.40667,-1.03529,0.90390,1.24090,0.23783,0.75244,0.50990,1.55707,1.07307,0.31920,1.08305,0.52294,-0.03972,1.92736,1.26958,-0.38879,-1.17426,-0.82835,0.30183,-0.28086,-0.36691,-1.55803,0.77758,-0.68481,0.32190,-0.90800,-0.07403,-0.42624,0.28761,-1.80000,-2.08759,0.47290,-0.43531,1.58896,0.39268,2.26714,1
W0004,LOT01,4,2026-01-05 07:07:35.250776682,A,4,GATE-ETCH-R7,PRD-A,3,746.49726,2.79842,0.03519,13.11922,716.80300,1.79299,0.07423,6.72492,10.87434,0.05082,-0.00024,0.24940,10.66331,0.04933,0.00186,0.20083,110.15500,0.72463,-0.00244,3.21772,112.54128,0.56603,0.01723,2.09026,1.00294,0.07604,0.00469,0.27769,0.71941,0.02142,0.00261,0.07175,65.52167,0.16126,-0.00101,0.73319,66.21331,0.15867,-0.00126,0.57766,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.15785,0.07031,0.58547,-0.17715,-2.25693,0.24816,1.12609,0.37884,1.50867,-0.14408,0.70242,-1.83630,-0.95896,-0.84093,-0.87902,0.58573,0.33223,0.19979,-0.27903,0.70456,-1.14076,-0.76769,-0.75104,-0.35294,0.25169,-1.46326,-1.13905,0.76706,-1.04823,0.03965,-0.44854,-0.02561,-1.61742,-0.96057,0.20473,0.27875,0.46498,1.98927,0.21070,-1.27066,-1.29860,0.35288,-0.40019,0.54558,1.25891,1.22825,1.16466,1.45720,-0.15813,-1.88060,1.86202,-0.31632,-1.65204,0.35221,-1.06912,0.28481,-0.69442,1.11033,-0.26812,2.13098,1
W0005,LOT01,5,2026-01-05 07:11:47.250776682,A,5,GATE-ETCH-R7,PRD-A,4,755.56698,2.61535,0.01606,13.90096,724.93948,2.43905,0.09944,9.63255,10.85712,0.05587,0.00074,0.26285,10.64126,0.04865,-0.00169,0.19275,110.16804,0.75392,-0.00146,3.75892,112.46872,0.67383,0.04410,2.95850,0.99880,0.07286,0.00451,0.24432,0.72193,0.02182,0.00262,0.07599,65.50339,0.13797,-0.00031,0.66346,66.17812,0.15912,-0.00190,0.57727,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.04053,-0.03695,1.28387,-1.38134,0.34375,-0.65998,1.21972,0.52905,0.44312,0.98817,-0.17992,-0.45357,0.84035,-0.56760,-0.33208,-1.32374,1.14536,0.96837,1.20034,-0.33641,1.02837,0.28575,-1.69873,-1.52108,-0.63356,0.79791,-0.60586,1.05865,-0.18474,-0.03991,-1.40737,-0.07905,-0.34970,-0.03434,-1.00691,0.85892,0.94428,1.03461,-0.18688,1.29411,-1.13466,1.34216,-0.57669,0.70017,0.46806,2.37079,-0.45382,0.36421,1.29342,-0.14504,-0.74964,-1.22724,0.08049,1.36058,0.08956,-0.50110,-0.90624,-1.19243,0.80842,-1.40855,1
W0006,LOT01,6,2026-01-05 07:15:59.250776682,A,6,GATE-ETCH-R7,PRD-A,5,755.07153,2.26051,-0.00465,9.13816,724.29855,2.50396,-0.06495,10.34801,10.25531,0.04643,-0.00062,0.20933,10.08107,0.05455,0.00029,0.20974,107.62392,0.76236,-0.00643,3.16172,109.55138,0.86221,-0.00516,3.11152,0.96478,0.04860,0.00299,0.17904,0.69618,0.01098,0.00119,0.04231,66.22651,0.15122,0.00171,0.82039,66.91623,0.17092,-0.00435,0.63563,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-1.56759,-1.40192,0.86909,-0.59158,1.03060,-1.19937,1.38942,-0.29602,-0.01288,0.36128,-0.47138,1.04835,0.81359,-0.99962,-0.06156,-1.59772,-0.62120,1.77643,0.75573,0.70268,-0.09705,-0.25810,-0.69805,-1.32350,0.34647,-0.04504,-0.06079,-1.36007,-1.20067,0.18238,0.20343,1.21606,1.37193,-0.83606,0.78034,-1.08269,-0.21624,0.70301,-0.71812,-1.36886,-0.36851,-0.03009,-1.34094,0.20877,1.30846,-1.54225,-0.02506,2.45203,-1.45446,0.25228,-1.18717,-0.02197,1.02844,-0.98481,0.03495,-0.62844,-0.08377,0.99348,0.52550,1.81288,1
W0007,LOT01,7,2026-01-05 07:20:11.250776682,A,7,GATE-ETCH-R7,PRD-A,6,753.25083,2.84428,0.01256,13.12276,722.34671,2.78045,0.05896,14.22838,10.41949,0.04738,-0.00023,0.20794,10.22119,0.05511,-0.00307,0.20908,108.57404,0.63067,-0.00125,2.52064,110.54079,0.71070,0.01187,2.91589,0.98371,0.05905,0.00364,0.20282,0.70822,0.01830,0.00191,0.07884,67.54790,0.14730,0.00074,0.63045,68.25111,0.13042,-0.00113,0.60444,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.70926,-0.74587,1.81016,-0.71001,-1.32584,1.24584,-1.24877,0.12032,-1.06491,0.64611,0.85784,0.94202,0.51000,-0.07078,0.67515,-0.32827,-1.48940,0.16058,0.67485,-2.82568,-0.61963,0.17162,-0.76002,-0.31861,0.15772,1.46711,-2.15925,0.31378,-0.01198,0.69324,-0.15533,1.18087,1.06178,-1.13847,1.16086,-0.73794,0.04111,0.71051,1.04829,-0.42225,-0.53718,-1.24881,0.11562,0.03335,0.64688,-2.21625,2.20460,0.68234,-0.69648,-0.70633,-0.87289,0.61621,0.44892,0.17085,2.19439,-1.22332,-0.12555,-1.13815,-0.18659,-0.33275,1
W0008,LOT01,8,2026-01-05 07:24:23.250776682,A,8,GATE-ETCH-R7,PRD-A,7,746.39636,2.56172,0.00602,12.01399,717.33960,3.52753,0.09031,14.96077,10.75992,0.05473,0.00023,0.26195,10.55474,0.05553,-0.00184,0.19843,109.74789,0.77740,0.01142,3.51081,111.60525,0.52382,0.01212,2.15203,0.99239,0.07057,0.00438,0.23276,0.71173,0.01840,0.00201,0.07931,65.63177,0.16628,0.00066,0.73654,66.33688,0.16072,0.00074,0.56988,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.68776,-0.37721,-0.41208,1.20506,-1.07225,2.85488,-0.32418,-0.00586,0.40775,1.25552,0.24156,0.16915,1.75909,-0.05188,-0.93316,-0.71400,-1.40890,-0.90929,1.60590,-2.81136,-0.42023,-1.30338,-0.97870,1.65585,-0.82286,1.81222,0.20159,0.22249,1.36961,0.56507,0.63517,0.83696,1.81401,-1.31052,0.76115,-0.75259,0.34259,-0.99665,-1.20858,-0.74434,0.56968,-0.33743,0.17900,-1.83874,-2.02791,1.17691,0.16241,1.11637,-0.63090,-2.09332,0.48779,-0.27133,0.23915,0.98720,-0.02376,1.10973,1.62700,0.11006,0.38493,0.81824,1
W0009,LOT01,9,2026-01-05 07:28:35.250776682,A,9,GATE-ETCH-R7,PRD-A,8,751.06921,2.67640,0.03323,12.14599,721.31688,2.72092,-0.00931,10.40047,10.49251,0.05107,0.00076,0.24258,10.26905,0.03426,0.00029,0.13641,109.15815,0.86299,-0.01094,3.34394,111.45818,0.88534,-0.00482,3.46734,0.99814,0.07483,0.00463,0.25664,0.71871,0.02199,0.00270,0.08516,64.88115,0.16005,0.00131,0.78385,65.50324,0.16133,-0.00378,0.54041,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,0.35321,-0.98220,-0.45889,-0.50330,-0.44886,-0.23105,-2.82166,0.63963,1.13990,0.80370,0.99996,0.98854,1.43187,1.28576,-1.68591,-0.89380,-0.38869,0.14628,0.77547,-0.92748,0.90476,-0.05046,1.49639,1.28421,0.36923,-0.62199,0.27523,-0.76037,2.42150,0.67346,0.91892,-0.12899,-0.08711,-0.17079,-0.51894,0.28524,0.57239,-0.52427,-1.16215,-0.09190,-0.35402,0.06129,-0.96569,-0.65863,-1.47007,0.50144,0.41285,-1.70066,0.93831,-0.69849,-0.34398,-1.03981,-2.12896,-0.29882,0.09131,-0.53064,0.72683,-0.10713,0.34967,-1.19811,1
W0010,LOT01,10,2026-01-05 07:32:47.250776682,A,10,GATE-ETCH-R7,PRD-A,9,746.35860,2.71704,-0.04068,11.80755,716.63642,2.35405,0.08006,8.74245,10.42113,0.05055,0.00049,0.23861,10.21730,0.04957,-0.00154,0.19577,108.82932,0.83454,0.00023,4.83038,110.99576,0.76096,-0.01997,2.92685,0.99493,0.07115,0.00440,0.24982,0.71627,0.01896,0.00220,0.07308,65.39084,0.15506,0.00098,0.80444,66.01404,0.13040,0.00019,0.49256,-1.27268,1.82902,3.92765,-0.05920,-0.94254,-0.59548,-1.06442,-0.71021,0.45086,0.01702,0.25212,-0.57374,0.51373,-1.64795,0.31851,0.66048,-1.31612,-0.51701,0.38804,-0.23874,-0.82489,-0.88891,-1.38225,-0.22181,-0.18634,-0.72951,-2.03810,-0.84912,-0.81838,0.09818,1.44135,-0.71613,1.09005,0.83449,1.44698,-0.68415,0.28858,0.62545,-0.13560,0.29605,1.18736,1.24248,1.19314,0.84568,0.79738,-0.43326,0.32837,-0.85977,-0.36670,-0.04870,1.03916,-0.45133,1.12209,-0.92933,0.31234,-0.07004,0.36358,-0.75628,-0.83724,-0.67845,0.32554,-0.03226,0.18584,-0.84609,-0.07262,0.59898,-0.69009,-1.82171,-0.90138,1.32595,-0.09992,-0.72566,0.42439,0.51804,0.85991,0.11319,0.58948,1.39248,0.40936,-0.27106,1
