study_wafer,repeat,operator,cd_measured_nm
G01,1,OP1,44.999
G01,2,OP1,44.833
G01,3,OP1,45.071
G01,4,OP2,44.89
G01,5,OP2,44.846
G01,6,OP2,45.004
G02,1,OP1,46.002
G02,2,OP1,45.337
G02,3,OP1,45.737
G02,4,OP2,45.437
G02,5,OP2,45.52
G02,6,OP2,46.131
G03,1,OP1,46.458
G03,2,OP1,46.12
G03,3,OP1,45.781
G03,4,OP2,46.468
G03,5,OP2,46.457
G03,6,OP2,46.383
G04,1,OP1,44.453
G04,2,OP1,44.258
G04,3,OP1,44.249
G04,4,OP2,44.337
G04,5,OP2,44.137
G04,6,OP2,44.19
G05,1,OP1,43.77
G05,2,OP1,43.474
G05,3,OP1,43.664
G05,4,OP2,43.649
G05,5,OP2,43.367
G05,6,OP2,43.776
G06,1,OP1,44.966
G06,2,OP1,45.196
G06,3,OP1,45.528
G06,4,OP2,44.944
G06,5,OP2,45.548
G06,6,OP2,44.877
G07,1,OP1,44.149
G07,2,OP1,44.029
G07,3,OP1,43.861
G07,4,OP2,43.638
G07,5,OP2,44.006
G07,6,OP2,43.871
G08,1,OP1,44.543
G08,2,OP1,44.539
G08,3,OP1,44.596
G08,4,OP2,44.371
G08,5,OP2,44.621
G08,6,OP2,44.542
G09,1,OP1,44.005
G09,2,OP1,44.0
G09,3,OP1,43.691
G09,4,OP2,44.242
G09,5,OP2,43.616
G09,6,OP2,43.791
G10,1,OP1,45.724
G10,2,OP1,45.938
G10,3,OP1,45.649
G10,4,OP2,45.659
G10,5,OP2,46.16
G10,6,OP2,45.898
G11,1,OP1,44.639
G11,2,OP1,44.661
G11,3,OP1,44.371
G11,4,OP2,44.527
G11,5,OP2,44.249
G11,6,OP2,43.988
G12,1,OP1,45.65
G12,2,OP1,45.703
G12,3,OP1,46.003
G12,4,OP2,45.884
G12,5,OP2,46.094
G12,6,OP2,45.369
G13,1,OP1,45.466
G13,2,OP1,45.718
G13,3,OP1,45.185
G13,4,OP2,45.176
G13,5,OP2,44.896
G13,6,OP2,45.569
G14,1,OP1,44.586
G14,2,OP1,44.697
G14,3,OP1,44.577
G14,4,OP2,44.675
G14,5,OP2,44.64
G14,6,OP2,44.643
G15,1,OP1,44.284
G15,2,OP1,44.276
G15,3,OP1,44.407
G15,4,OP2,44.521
G15,5,OP2,44.247
G15,6,OP2,44.789
