wafer_id,lot_id,run_index,measured_at,metrology_tool,site,cd_measured_nm
W0001,LOT01,1,2026-01-05 12:14:22.375234947,CDSEM-01,centre,45.485
W0002,LOT01,2,2026-01-05 11:53:13.478633110,CDSEM-02,centre,45.152
W0006,LOT01,6,2026-01-05 13:58:58.010839760,CDSEM-02,centre,44.789
W0008,LOT01,8,2026-01-05 14:41:38.721001381,CDSEM-02,centre,45.477
W0011,LOT01,11,2026-01-05 10:10:30.126892768,CDSEM-01,centre,45.05
W0015,LOT01,15,2026-01-05 10:51:23.349058428,CDSEM-02,centre,45.655
W0016,LOT01,16,2026-01-05 09:58:04.386712754,CDSEM-01,centre,45.14
W0020,LOT01,20,2026-01-05 15:29:14.236444393,CDSEM-02,centre,44.737
W0025,LOT01,25,2026-01-05 12:46:24.587423638,CDSEM-02,centre,45.692
W0027,LOT02,27,2026-01-05 16:47:05.971149490,CDSEM-02,centre,45.493
W0030,LOT02,30,2026-01-05 15:20:06.173159271,CDSEM-01,centre,45.57
W0038,LOT02,38,2026-01-05 12:37:35.826988683,CDSEM-01,centre,45.044
W0040,LOT02,40,2026-01-05 15:41:36.268904496,CDSEM-01,centre,45.147
W0041,LOT02,41,2026-01-05 14:30:54.503645838,CDSEM-01,centre,45.29
W0044,LOT02,44,2026-01-05 14:24:06.454227951,CDSEM-02,centre,44.932
W0046,LOT02,46,2026-01-05 14:46:51.774921172,CDSEM-02,centre,45.525
W0047,LOT02,47,2026-01-05 15:43:42.016554169,CDSEM-02,centre,45.31
W0049,LOT02,49,2026-01-05 17:36:50.382808566,CDSEM-01,centre,45.733
W0050,LOT02,50,2026-01-05 17:17:32.936533953,CDSEM-01,centre,45.928
W0053,LOT03,53,2026-01-05 18:14:03.351088369,CDSEM-01,centre,43.694
W0056,LOT03,56,2026-01-05 15:41:34.837599608,CDSEM-01,centre,43.23
W0064,LOT03,64,2026-01-05 18:15:06.019449298,CDSEM-02,centre,43.653
W0068,LOT03,68,2026-01-05 17:51:14.218270695,CDSEM-02,centre,44.053
W0069,LOT03,69,2026-01-05 19:46:04.454712698,CDSEM-01,centre,44.267
W0070,LOT03,70,2026-01-05 20:59:16.837198140,CDSEM-01,centre,44.139
W0071,LOT03,71,2026-01-05 19:55:07.801088472,CDSEM-02,centre,44.289
W0072,LOT03,72,2026-01-05 18:42:02.291455132,CDSEM-01,centre,43.834
W0075,LOT03,75,2026-01-05 16:58:32.575929343,CDSEM-01,centre,43.728
W0076,LOT04,76,2026-01-05 21:50:48.974496537,CDSEM-02,centre,43.965
W0077,LOT04,77,2026-01-05 18:16:22.293465730,CDSEM-02,centre,43.655
W0079,LOT04,79,2026-01-05 17:14:24.831710906,CDSEM-02,centre,43.357
W0081,LOT04,81,2026-01-05 21:49:40.880062309,CDSEM-02,centre,43.735
W0084,LOT04,84,2026-01-05 22:35:27.730769778,CDSEM-02,centre,44.144
W0085,LOT04,85,2026-01-05 20:28:22.778790327,CDSEM-02,centre,44.333
W0089,LOT04,89,2026-01-05 21:45:34.134866472,CDSEM-01,centre,43.433
W0094,LOT04,94,2026-01-05 20:26:23.520067682,CDSEM-01,centre,44.36
W0095,LOT04,95,2026-01-05 22:52:55.765376678,CDSEM-01,centre,43.84
W0100,LOT04,100,2026-01-05 22:44:45.168690218,CDSEM-01,centre,44.362
W0103,LOT05,103,2026-01-06 00:05:29.223403257,CDSEM-02,centre,44.499
W0105,LOT05,105,2026-01-06 01:09:14.726992548,CDSEM-01,centre,44.907
W0106,LOT05,106,2026-01-05 22:24:46.273907056,CDSEM-02,centre,45.021
W0108,LOT05,108,2026-01-06 00:51:42.250803164,CDSEM-01,centre,45.36
W0115,LOT05,115,2026-01-06 01:01:29.997477006,CDSEM-02,centre,44.928
W0116,LOT05,116,2026-01-05 21:56:15.031848409,CDSEM-02,centre,45.095
W0118,LOT05,118,2026-01-05 21:11:55.071412084,CDSEM-02,centre,45.195
W0120,LOT05,120,2026-01-05 21:55:30.472752451,CDSEM-02,centre,44.684
W0121,LOT05,121,2026-01-05 21:36:31.678337989,CDSEM-01,centre,45.062
W0130,LOT06,130,2026-01-06 00:00:22.605872293,CDSEM-01,centre,43.892
W0133,LOT06,133,2026-01-06 01:28:32.014547073,CDSEM-01,centre,43.47
W0135,LOT06,135,2026-01-06 02:06:30.963688359,CDSEM-01,centre,43.578
W0137,LOT06,137,2026-01-06 00:36:44.449631720,CDSEM-02,centre,43.813
W0139,LOT06,139,2026-01-06 01:36:04.963572228,CDSEM-01,centre,44.139
W0140,LOT06,140,2026-01-06 04:18:37.090917951,CDSEM-01,centre,43.789
W0141,LOT06,141,2026-01-06 01:22:07.985304571,CDSEM-02,centre,43.872
W0142,LOT06,142,2026-01-06 02:37:36.984238018,CDSEM-01,centre,44.046
