wafer_id,run_index,t_s,step,rf_power_W,chamber_pressure_mTorr,gas_flow_sccm,oes_endpoint_au,wall_temp_C
W0007,7,0,stabilize,677.4696,10.9118,107.7404,0.5117,66.9788
W0007,7,1,stabilize,680.1013,10.9556,108.3303,0.5341,66.9614
W0007,7,2,stabilize,675.9529,10.9033,108.6093,0.5272,66.9666
W0007,7,3,stabilize,679.3565,10.9579,108.1770,0.5271,66.7361
W0007,7,4,stabilize,673.7552,10.9421,107.2344,0.5258,66.6220
W0007,7,5,stabilize,676.0654,10.9232,109.6482,0.5341,66.6603
W0007,7,6,stabilize,677.0724,10.9729,108.4488,0.5396,67.0876
W0007,7,7,stabilize,679.8273,10.9206,108.5065,0.5299,66.9923
W0007,7,8,stabilize,680.5276,11.0259,108.0804,0.5274,66.8274
W0007,7,9,stabilize,676.5994,10.9470,108.2862,0.5444,67.1023
W0007,7,10,stabilize,677.7897,10.9494,109.3943,0.5391,67.0166
W0007,7,11,stabilize,678.1736,10.9416,108.7667,0.5416,66.9861
W0007,7,12,stabilize,675.5497,10.9204,107.3304,0.5583,66.8138
W0007,7,13,stabilize,677.2949,10.9927,110.3249,0.5522,66.7934
W0007,7,14,stabilize,672.6185,10.8703,107.7822,0.5505,66.9780
W0007,7,15,stabilize,676.6540,10.9653,107.4565,0.5333,66.8323
W0007,7,16,stabilize,678.8076,10.9703,107.5519,0.5460,66.9733
W0007,7,17,stabilize,679.2407,10.9126,107.8393,0.5499,66.8659
W0007,7,18,stabilize,680.4421,10.9103,109.0954,0.5693,67.1652
W0007,7,19,stabilize,680.5386,10.9635,108.8732,0.5485,66.8506
W0007,7,20,main_etch,752.7378,10.4219,109.2538,0.8918,67.6458
W0007,7,21,main_etch,747.6696,10.3777,108.4444,0.8978,67.4797
W0007,7,22,main_etch,752.9088,10.4988,108.6879,0.8836,67.7943
W0007,7,23,main_etch,752.8109,10.4286,108.6129,0.9145,67.3596
W0007,7,24,main_etch,757.7355,10.4917,107.8003,0.8971,67.7420
W0007,7,25,main_etch,755.0924,10.4558,108.8389,0.8999,67.7509
W0007,7,26,main_etch,751.7114,10.3846,108.3074,0.8862,67.1800
W0007,7,27,main_etch,750.4901,10.4146,108.6305,0.9006,67.6056
W0007,7,28,main_etch,756.5996,10.4184,109.7011,0.8985,67.2976
W0007,7,29,main_etch,757.4425,10.4471,108.3368,0.9199,67.5572
W0007,7,30,main_etch,747.4577,10.4212,108.5550,0.9043,67.5010
W0007,7,31,main_etch,748.4770,10.3121,108.5089,0.9325,67.5197
W0007,7,32,main_etch,754.6435,10.4696,108.2624,0.9236,67.7626
W0007,7,33,main_etch,751.9015,10.4118,108.5662,0.9364,67.1850
W0007,7,34,main_etch,757.1076,10.5200,109.7001,0.9500,67.3818
W0007,7,35,main_etch,753.6287,10.3681,108.2690,0.9498,67.5398
W0007,7,36,main_etch,750.0903,10.4338,108.9207,0.9320,67.3836
W0007,7,37,main_etch,756.2041,10.4531,108.1360,0.9378,67.6902
W0007,7,38,main_etch,751.0219,10.4575,107.8638,0.9493,67.5648
W0007,7,39,main_etch,751.9287,10.4079,107.3319,0.9560,67.5814
W0007,7,40,main_etch,754.7788,10.4117,107.9523,0.9671,67.3656
W0007,7,41,main_etch,754.3411,10.3339,107.8989,0.9589,67.7013
W0007,7,42,main_etch,754.6740,10.4488,108.0450,0.9721,67.5962
W0007,7,43,main_etch,757.6509,10.3620,108.6273,0.9757,67.6888
W0007,7,44,main_etch,755.3333,10.3947,108.6426,0.9748,67.5154
W0007,7,45,main_etch,752.8291,10.4147,109.8525,0.9821,67.5362
W0007,7,46,main_etch,749.5173,10.4877,108.5139,0.9861,67.5657
W0007,7,47,main_etch,755.6944,10.4739,108.0923,0.9834,67.5026
W0007,7,48,main_etch,755.5701,10.3606,109.6905,0.9948,67.5774
W0007,7,49,main_etch,749.5174,10.4539,107.9422,1.0068,67.4880
W0007,7,50,main_etch,753.2702,10.4179,108.8273,0.9765,67.7465
W0007,7,51,main_etch,753.7821,10.3572,109.8431,1.0143,67.5234
W0007,7,52,main_etch,752.7242,10.3201,109.4994,1.0173,67.5887
W0007,7,53,main_etch,753.2755,10.3788,107.6473,0.9865,67.4378
W0007,7,54,main_etch,750.8897,10.3312,108.9966,1.0122,67.5177
W0007,7,55,main_etch,751.7797,10.4890,107.9553,1.0087,67.4487
W0007,7,56,main_etch,753.2852,10.4160,108.1295,1.0265,67.4932
W0007,7,57,main_etch,749.9354,10.4061,108.8408,1.0328,67.7017
W0007,7,58,main_etch,753.5126,10.4217,108.6122,1.0227,67.3247
W0007,7,59,main_etch,760.1094,10.4090,108.6471,1.0292,67.8104
W0007,7,60,main_etch,749.6768,10.4601,108.3554,1.0338,67.4594
W0007,7,61,main_etch,746.9867,10.4663,107.9015,1.0401,67.5231
W0007,7,62,main_etch,753.0719,10.4055,109.8098,1.0369,67.7905
W0007,7,63,main_etch,752.5685,10.4407,109.5466,1.0404,67.4577
W0007,7,64,main_etch,753.4613,10.4127,108.9296,1.0502,67.4678
